question,answer,label
What is fog?,Fog is a cloud of tiny water droplets near ground.,good
How does snow form?,Snow forms when water vapor freeze into ice in clouds.,good
What is the water cycle?,Water cycle is continuous movement of water through evaporation and condensation and rain.,good
What is a front in weather?,A front is boundary between two air masses.,good
What is a weather forecast?,A weather forecast tells about coming weather conditions.,good
What is climate?,Climate is average weather over long time.,good
Name a natural disaster related to weather.,Hurricane is one kind of natural disaster related to weather.,good
What is lightning?,Lightning is sudden electric flash in sky.,good
What is thunder?,Thunder is sound caused by lightening.,good
What is a tornado?,A tornado is spinning air column from thunderstorm to ground.,good
What is a hurricane?,Hurricane is large storm with heavy rain and strong wind.,good
What is dew?,Dew is water drops on cool surface in night.,good
How does temperature affect weather?,Temperature affects weather by changing air pressure and moist.,good
What is evaporation?,Evaporation is when water turns into gas.,good
What is condensation?,Condensation is when vapor become liquid water.,good
What is the role of the sun in weather?,Sun gives energy which makes weather changes.,good
What is a drought?,Drought is long time without rain.,good
What is a blizzard?,Blizzard is heavy snow with strong wind and poor visibility.,good
How are clouds formed?,Clouds form when vapor condenses into tiny droplets.,good
What is a weather satellite?,Weather satellite collects Earth's weather data.,good
What does a hygrometer measure?,A hygrometer measure moisture in air.,good
What is hail?,Hail is rain that turns into ice balls.,good
What does 'forecast' mean?,Forecast means predict future climate.,good
What is air pressure?,Air pressure is force of air pushing down on land.,good
Why does it rain?,Rain happens when clouds become heavy and fall.,good
What is a weather vane used for?,Weather vane shows where wind comes.,good
What type of cloud brings rain?,Nimbus clouds bring rainfall.,good
What is wind speed measured in?,Wind speed is measured in km/h or mile/hour.,good
What is sleet?,Sleet is rain that gets frozen.,good
What is a cold front?,Cold front happens when cold air moves under warm air.,good
What is a warm front?,Warm front is when warm air rises over cold air.,good
What is the troposphere?,Troposphere is the lower layer where weather happens.,good
What is the jet stream?,Jet stream is fast air in upper sky.,good
What is a weather balloon?,Weather balloon is used to measure air condition.,good
What is the difference between weather and climate?,"Weather is current condition, climate is over time.",good
What are isobars?,Isobars show pressure on weather maps.,good
What happens during a thunderstorm?,"Thunderstorm has lightning, sound and rain.",good
What is an anemometer?,Anemometer is used to check wind speed.,good
What is the role of oceans in weather?,Ocean heat changes weather patterns.,good
What is weathering?,Weathering means breaking of rocks by rain or wind.,good
Why do seasons change?,Seasons change because of Earth's orbit and tilt.,good
What is the function of petals in a flower?,Petals attract pollinators with their smell and colour.,good
What part of the plant takes in water from the soil?,The root absorbs water from the soil.,good
What is pollination?,Pollination is the transfer of pollen from the anther to the stygma.,good
How do seeds form in flowering plants?,Seeds form after pollination and ferilization.,good
What is germination?,Germination is when a seed starts to grow into plant.,good
What helps a seed grow into a plant?,"Water, oxygen, and heat help a seed grow.",good
What is the function of the stem in a plant?,The stem supports the plant and transport water and nutrients.,good
Which part of the plant makes food?,The leaves makes food through photosynthesis.,good
What is the role of fruits in a plant?,Fruits protect the seed and help in their dispersal.,good
What is seed dispersal?,Seed dispersal is spreading of seeds away from the parent plant.,good
Name a non-flowering plant.,Fern is example of a non-flowering plant.,good
How do non-flowering plants reproduce?,Non-flowering plants reproduce by spores.,good
What is the life cycle of a butterfly?,Egg ? Larva ? Pupa ? Adult butterfli,good
What is metamorphosis?,Metamorphosis is a big change in the life cycle of some animals.,good
What are the stages in a frog's life cycle?,Egg ? Tadpole ? Frogglet ? Adult frog,good
What do all animals need to grow?,"All animals need food, water, air and place to grow.",good
What system in the body transports blood?,The circulation system transports blood.,good
What organ pumps blood through the body?,The heart pump blood through the body.,good
What gas do we breathe in?,We breath in oxygen.,good
What system helps us breathe?,The respiritory system helps us breathe.,good
What is the function of the stomach?,The stomach breaks down food with digest juices.,good
What is digestion?,Digestion is process of breaking down food into nutrients.,good
Which body system controls movement?,The muscular system control movement.,good
What is the function of bones?,Bone support the body and protect organs.,good
What is a food chain?,A food chain show how energy moves from one organism to another.,good
What do herbivores eat?,Herbivores eats plants.,good
What do carnivores eat?,Carnivores eats other animals.,good
What is an omnivore?,A omnivore eats both plants and animals.,good
What is a habitat?,A habitat is the natural home of a organism.,good
How do animals adapt to their environment?,Animals adapt by developing trait that help them survive.,good
What is camouflage?,Camouflage help animals blend in with their surroundings.,good
What is a producer in a food chain?,"A producer make its own food, usually a plant.",good
What is a consumer?,A consumer eat other organisms for energy.,good
What is a decomposer?,A decomposer break down dead plants and animals.,good
Name one decomposer.,Fungus is a decomposer.,good
Why are decomposers important?,Decomposers recycle nutrients back to the soil.,good
What do lungs do?,Lungs take in oxygen and removes carbon dioxide.,good
What carries oxygen in the blood?,Red blood cell carry oxygen.,good
What organ filters waste from blood?,The kidney filters waste from the blood.,good
What is the role of the brain?,"The brain control thoughts, feelings, and actions.",good
What is an ecosystem?,An ecosystem is a comunity of living and non-living things.,good
